1,180,11,,1,1,1,30,2,1,485585,11,1,1725,1,1,100,1,,
2,180,12,,520,1,5,30,3,1,501241,12,1,1379,2,1,100,1,,
3,78,23,,520,1,5,30,3,27,502969,4,3,1838,2,1,35.2,1,,
4,38,19,,520,1,5,30,3,1,502969,19,3,2054,2,0,12.5,1,,
7,180,18,,1,1,1,30,3,1,485021,18,1,1766,7,1,100,1,,
8,78,24,,2,1,1,30,3,28,485021,0,3,1827,7,1,25,1,,
9,38,11,,2,1,1,30,3,1,485021,11,2,1880,7,0,12.5,1,,
10,38,10,,2,1,1,30,3,28,485021,10,1,2112,7,0,0,0,,
11,180,16,,4068,1,1,30,2,3,481569,16,1,2085,8,1,200,1,,
12,180,18,,697,1,4,30,2,1,470269,18,1,1534,9,1,100,1,,
17,180,8,,2175,1,3,30,2,1,413261,8,1,1561,14,1,100,1,,
18,180,16,,4,1,5,30,1,1,394249,16,1,1754,15,1,100,1,,
19,38,12,,5,1,5,30,1,1,394249,12,2,1813,15,0,0,0,,
20,180,19,,7,1,2,30,2,1,516125,19,1,1158,18,1,100,1,,
21,38,11,,7,1,2,30,2,1,516125,11,3,1299,18,0,0,0,,
22,180,2,,410,1,4,30,2,2,471955,2,1,1917,19,1,120,1,,
23,278,12,,410,1,4,30,2,12,471955,12,3,2124,19,1,7.9,1,,
24,180,2,,2186,1,3,30,2,1,399289,2,1,1411,25,1,100,1,,
25,278,17,,2186,1,3,30,2,22,399289,17,1,1439,25,1,14.7,1,,
26,38,17,,2186,1,3,30,2,22,399289,17,1,1581,25,0,0,0,,
27,78,22,,2186,1,3,30,2,27,399289,9,3,1886,25,1,35.2,1,,
28,38,10,,2186,1,3,30,2,1,399289,10,1,1901,25,0,12.5,1,,
29,180,4,,7,1,1,30,2,1,481707,4,1,1321,26,1,100,1,,
30,38,7,,7,1,1,30,2,1,481707,7,1,1786,26,0,0,0,,
33,180,3,,2507,1,4,30,2,1,442573,3,3,1342,28,1,100,1,,
34,278,17,,2507,1,4,30,2,13,442573,17,1,1512,28,1,13,1,,
35,38,4,,2507,1,4,30,2,13,442573,4,1,1548,28,0,0,0,,
36,278,16,,2507,1,4,30,2,10,442573,16,1,1714,28,1,12.2,1,,
37,38,2,,2507,1,4,30,2,10,442573,2,3,1957,28,0,0,0,,
38,278,18,,2507,1,4,30,2,17,442573,18,2,1978,28,1,50,1,,
39,180,2,,8,1,1,30,3,1,487323,2,2,1817,31,1,100,1,,
40,180,4,,212,1,5,30,3,1,501241,4,1,1281,33,1,100,1,,
41,38,7,,212,1,5,30,3,1,501241,7,3,1708,33,0,0,0,,
42,180,16,,1425,1,1,30,2,2,483335,16,2,2091,34,1,120,1,,
43,278,6,,1425,1,1,30,2,26,483335,6,1,2136,34,1,30,1,,
44,180,20,,3650,1,1,30,3,1,483293,20,1,1256,35,1,100,1,,
45,278,8,,3650,1,1,30,3,8,483293,8,1,1536,35,1,125,1,,
46,278,17,,3650,1,1,30,3,6,483293,17,3,1710,35,1,39,1,,
47,278,11,,3650,1,1,30,3,25,483293,11,1,1739,35,1,3.85,1,,
48,278,19,,3650,1,1,30,3,12,483293,19,1,1843,35,1,7.9,1,,
49,38,12,,3650,1,1,30,3,1,483293,12,3,2117,35,0,12.5,1,,
50,278,18,,3650,1,1,30,3,14,483293,18,1,2160,35,1,4.75,1,,
51,180,20,,2547,1,1,30,3,1,485017,20,1,1525,37,1,100,1,,
52,78,26,,2547,1,1,30,3,28,485017,12,3,1841,37,1,25,1,,
53,38,1,,2547,1,1,30,3,28,485017,1,1,2143,37,0,0,0,,
55,180,4,,437,1,3,30,2,3,416609,4,1,1968,41,1,200,1,,
56,278,4,,437,1,3,30,2,25,416609,4,1,2122,41,1,3.85,1,,
58,180,11,,4160,1,4,30,2,2,475419,11,2,1382,43,1,120,1,,
59,180,17,,69,1,4,30,2,1,475421,17,1,1363,44,1,100,1,,
60,180,5,,3942,1,3,30,3,1,402773,5,1,1815,45,1,100,1,,
61,78,25,,3942,1,3,30,3,28,402773,0,3,1872,45,1,25,1,,
62,180,20,,2666,1,1,30,3,1,486747,20,1,1849,51,1,100,1,,
63,180,3,,3444,1,5,30,3,2,501245,3,1,1169,53,1,120,1,,
64,180,9,,2631,1,4,30,3,1,473693,9,2,1217,54,1,100,1,,
65,38,3,,2631,1,4,30,3,1,473693,3,1,1264,54,0,0,0,,
66,180,2,,8,1,4,30,2,1,470277,2,2,1399,55,1,100,1,,
67,278,17,,11,1,4,30,2,9,470277,17,3,1557,55,1,178.32,1,,
68,38,4,,19,1,4,30,2,1,470277,4,1,1784,55,0,0,0,,
69,278,6,,19,1,4,30,2,11,470277,6,1,1789,55,1,3.5,1,,
70,78,25,,19,1,4,30,2,28,470277,6,3,1847,55,1,25,1,,
71,180,2,,20,1,4,30,3,1,471870,2,1,1449,57,1,100,1,,
72,38,19,,48,1,4,30,3,1,471870,19,2,1584,57,0,0,0,,
73,180,16,,1194,1,3,30,2,2,428755,16,1,1895,59,1,120,1,,
74,180,17,,3091,1,1,30,2,1,453967,17,2,1481,60,1,100,1,,
75,180,20,,3743,1,4,30,2,1,470276,20,1,1516,61,1,100,1,,
76,38,17,,3743,1,4,30,2,1,470276,17,2,1650,61,0,0,0,,
77,180,9,,1545,1,2,30,2,2,509977,9,2,2190,65,1,120,1,,
78,180,11,,49,1,4,30,3,1,442493,11,2,1327,66,1,100,1,,
79,278,20,,49,1,4,30,3,8,442493,20,1,1789,66,1,125,1,,
80,278,6,,49,1,4,30,3,24,442493,6,3,1929,66,1,75,1,,
81,38,20,,52,1,4,30,3,8,442493,20,2,1962,66,0,0,0,,
82,278,19,,53,1,4,30,3,4,442493,19,1,2095,66,1,35.5,1,,
85,180,9,,53,1,4,30,3,1,471939,9,2,1367,70,1,100,1,,
86,38,20,,53,1,4,30,3,1,471939,20,2,1985,70,0,12.5,1,,
91,180,4,,484,1,5,30,2,1,503117,4,2,1211,74,1,100,1,,
92,38,18,,484,1,5,30,2,1,503117,18,3,1683,74,0,0,0,,
93,180,1,,3509,1,4,30,2,1,470277,1,1,1112,75,1,100,1,,
94,278,6,,3509,1,4,30,2,10,470277,6,1,1725,75,1,12.2,1,,
95,180,17,,3213,1,4,30,3,2,471941,17,1,1213,76,1,120,1,,
96,78,22,,3213,1,4,30,3,27,471941,12,3,1889,76,1,35.2,1,,
99,180,6,,65,1,1,30,2,1,455685,6,2,1374,80,1,100,1,,
101,180,1,,54,1,5,30,3,1,501391,1,3,1678,82,1,100,1,,
102,180,17,,609,1,5,30,1,1,394227,17,1,1544,86,1,100,1,,
103,78,22,,609,1,5,30,1,27,394227,27,3,1843,86,1,35.2,1,,
104,180,8,,55,1,4,30,2,1,440913,8,2,1599,87,1,100,1,,
109,180,4,,2259,1,2,30,3,2,511667,4,2,1675,90,1,120,1,,
110,78,23,,2259,1,2,30,3,27,511667,0,3,1844,90,1,35.2,1,,
111,278,2,,2259,1,2,30,3,7,511667,2,1,2056,90,1,45.75,1,,
112,180,9,,55,1,4,30,2,1,472002,9,1,1357,91,1,100,1,,
113,278,17,,56,1,4,30,2,18,472002,17,3,1469,91,1,100,1,,
114,78,26,,57,1,4,30,2,28,472002,10,3,1848,91,1,25,1,,
115,38,11,,57,1,4,30,2,1,472002,11,1,2145,91,0,12.5,1,,
116,180,6,,86,1,1,30,2,3,453965,6,1,1863,92,1,200,1,,
117,78,23,,86,1,1,30,2,27,453965,0,3,1910,92,1,35.2,1,,
118,180,20,,3544,1,1,30,3,1,488507,20,1,1502,93,1,100,1,,
119,78,24,,3544,1,1,30,3,28,488507,12,3,1830,93,1,25,1,,
121,180,11,,930,1,2,30,1,1,518401,11,1,1972,96,1,100,1,,
122,38,6,,930,1,2,30,1,1,518401,6,3,2056,96,0,12.5,1,,
123,180,3,,57,1,4,30,2,2,440901,3,1,1217,99,1,120,1,,
124,78,21,,59,1,4,30,2,27,440901,1,3,1842,99,1,35.2,1,,
125,38,9,,59,1,4,30,2,27,440901,9,3,1944,99,0,0,0,,
126,180,11,,1575,1,2,30,3,1,525481,11,2,1272,101,1,100,1,,
