116,TT ,TATAR,TURKIC/ALTAIC,T
117,TE ,TELUGU,DRAVIDIAN,T
118,TH ,THAI,ASIAN,T
119,BO ,TIBETAN,ASIAN,T
120,TI ,TIGRINYA,SEMITIC,T
121,TO ,TONGA,OCEANIC/INDONESIAN,T
122,TS ,TSONGA,NEGRO-AFRICAN,T
123,TR ,TURKISH,TURKIC/ALTAIC,T
124,TK ,TURKMEN,TURKIC/ALTAIC,T
125,TW ,TWI,NEGRO-AFRICAN,T
126,UK ,UKRAINIAN,SLAVIC,T
127,UR ,URDU,INDIAN,T
128,UZ ,UZBEK,TURKIC/ALTAIC,T
129,VI ,VIETNAMESE,ASIAN,T
130,VO ,VOLAPUK,INTERNATIONAL AUX.,T
131,CY ,WELSH,CELTIC,T
132,WO ,WOLOF,NEGRO-AFRICAN,T
133,XH ,XHOSA,NEGRO-AFRICAN,T
134,JI ,YIDDISH,GERMANIC,T
135,YO ,YORUBA,NEGRO-AFRICAN,T
136,ZU ,ZULU,NEGRO-AFRICAN,T
